ਮੈਂ ਖੁਦ ਨਹੀਂ ਸਮਝ ਸਕਿਆ ਕਿ ਕੀ ਹੋ ਰਿਹਾ ਹੈ |,surprise 
"ਆਪਣੇ ਕੰਮਕਾਜੀ ਜੀਵਨ ਦਾ ਆਨੰਦ ਲੈਣਾ ਇੱਕ ਅਜਿਹੀ, ਭਾਵਨਾ ਹੈ ਜਿਸ ਨੂੰ ਮੁੜ ਅਨੁਕੂਲ ਕਰਨ ਵਿੱਚ ਹੈਮਿਲਟਨ ਖੁਸ਼ ਹੈ",happy
ਜਦੋਂ ਉਨ੍ਹਾਂ ਦੇ ਪਿਤਾ ਰਾਤ ਦੇ ਖਾਣੇ 'ਤੇ ਆਏ ਤਾਂ ਉਹ ਹੈਰਾਨ ਅਤੇ ਹੈਰਾਨੀ ਨਾਲ ਭਰੇ ਹੋਏ ਸਨ|,surprise 
ਮੈਂ ਤੁਹਾਨੂੰ ਦੱਸ ਨਹੀਂ ਸਕਦਾ ਕਿ ਮੈਂ ਇੱਥੇ ਆ ਕੇ ਕਿੰਨਾ ਖੁਸ਼ ਹਾਂ,happy
ਉਹ ਜ਼ਿੰਦਗੀ ਵਿਚ ਉਦਾਸ ਅਤੇ ਇਕੱਲਾ ਹੈ|,sad
ਖਿੜਕੀ ਦੇ ਬਾਹਰ ਤੂਫਾਨ ਦਾ ਬੱਦਲ ਉਦਾਸੀ ਅਤੇ ਸੋਗ ਦਾ ਇੱਕ ਆਮ ਉਨ੍ਹੀਵੀਂ ਸਦੀ ਦਾ ਪ੍ਰਤੀਕ ਸੀ,sad
ਤੁਸੀਂ ਰੇਲ ਟਿਕਟ ਬੁੱਕ ਕਰ ਸਕਦੇ ਹੋ|,Neutral
"ਨਹੀਂ, ਪਰ ਯੂਨੀਅਨ ਆਪਣੇ ਮੈਂਬਰਾਂ ਦੀ ਸਹਾਇਤਾ ਕਰ ਸਕਦੀ ਹੈ ਜੇਕਰ ਉਹ ਵਿੱਤੀ ਤੰਗੀ ਦਾ ਸਾਹਮਣਾ ਕਰਦੇ ਹਨ",Neutral
ਦਿਨ-ਰਾਤ ਪੁਲਿਸ ਵੱਲੋਂ ਅਚਨਚੇਤ ਚੈਕਿੰਗ ਕਰਨ ਨਾਲ ਇਸ ਖਤਰਨਾਕ ਸੜਕ ਹਾਦਸਿਆਂ ਨੂੰ ਰੋਕਿਆ ਜਾ ਸਕਦਾ ਹੈ,surprise 
ਤੁਸੀਂ ਅੱਜ ਇੰਨੇ ਉਦਾਸ ਕਿਉਂ ਹੋ?,sad
"ਉਹ! ਹੁਣੇ ਹੀ ਪਲਾਂਟ ਦੀ ਨਰਸਰੀ ਵਿੱਚ ਆਪਣੀ ਨੌਕਰੀ ਤੋਂ ਵਾਪਸ ਆਈ ਸੀ ਅਤੇ ਮੇਜ਼ 'ਤੇ ਬੈਠੀ ਸੀ, ਆਪਣੇ ਸਨੀਕਰ ਖੋਲ੍ਹ ਰਹੀ ਸੀ",Neutral
ਇਹ ਕਿਸੇ ਲਈ ਹੈਰਾਨੀ ਵਾਲੀ ਗੱਲ ਨਹੀਂ ਹੋਣੀ ਚਾਹੀਦੀ ਕਿ ਉਸਦਾ ਕਾਲਿੰਗ ਕਾਰਡ ਹੱਕਾਂ ਵਿੱਚ ਸੁਧਾਰ ਕਰ ਰਿਹਾ ਹੈ,surprise 
ਤੁਸੀਂ ਕੁਝ ਵੀ ਨਹੀਂ ਸਮਝਦੇ|,anger
"ਗੁੱਸਾ ਇੱਕ ਰਿਸ਼ੀ ਨੂੰ ਆਪਣੀ ਬੁੱਧੀ ਗੁਆ ਦੇਵੇਗਾ, ਇੱਕ ਵਿਅਕਤੀ ਜੋ ਮਹਾਨਤਾ ਲਈ ਇਸ ਨੂੰ ਗੁਆ ਦੇਵੇਗਾ",anger
ਮੇਰੀ ਟ੍ਰੇਨ ਦੀ ਬੁਕਿੰਗ ਵਾਰ-ਵਾਰ ਫੇਲ ਹੋ ਰਹੀ ਹੈ,anger
"ਜਦੋਂ ਮੈਨੂੰ ਪਤਾ ਲੱਗਾ ਕਿ ਉਸਨੇ ਮੈਨੂੰ ਆਪਣੇ ਸਭ ਤੋਂ ਚੰਗੇ ਦੋਸਤ ਨਾਲ ਮਿਲਾਉਣ ਦਾ ਪ੍ਰਬੰਧ ਕੀਤਾ, ਤਾਂ ਮੈਂ ਸੱਚਮੁੱਚ ਹੈਰਾਨ ਰਹਿ ਗਿਆ",surprise 
ਤੁਸੀਂ ਇਹ ਕਰਨ ਵਾਲੇ ਕੌਣ ਹੋ|,anger
ਮੈਂ ਹਰ ਸਮੇਂ ਡਰਿਆ ਰਹਿੰਦਾ ਹਾਂ,fear
"ਹੈਰਾਨੀ ਮੁੱਖ ਤੱਤ ਸੀ, ਪਰ ਇੱਕ ਵਹਿਸ਼ੀ ਕਤਲੇਆਮ ਦੀ ਲੋੜ ਨਹੀਂ ਸੀ|",surprise 
"ਉਨ੍ਹਾਂ ਅੱਖਾਂ ਦੇ ਅੰਦਰ ਗੁੱਸਾ ਸੀ, ਗੁੱਸਾ ਇੰਨਾ ਭੜਕਿਆ ਕਿ ਕੈਥਰੀਨ ਹੋਰ ਡਰ ਗਈ",anger
"ਉਹ ਛੇਤੀ ਹੀ ਦੱਸਦੀ ਹੈ ਕਿ ਉਸਦਾ ਬਚਪਨ ਦੁਖੀ ਨਹੀਂ ਸੀ, ਸਿਰਫ਼ ਅਸ਼ਾਂਤ ਸੀ",sad
"ਫਿਰ ਵੀ, ਉਹ 7 ਅੰਕਾਂ ਦਾ ਸੁਨਹਿਰੀ ਪੈਰਾਸ਼ੂਟ ਲੈ ਕੇ ਰਵਾਨਾ ਹੋਇਆ, ਅਤੇ ਸਿਰਫ ਯੂਨਿਟਧਾਰਕ ਨਾਖੁਸ਼ ਸਨ ",sad
"ਓਏ, ਕੀ ਤੁਸੀਂ ਸੋਚਦੇ ਹੋ ਕਿ ਮੈਂ ਇੱਕ ਗਧਾ ਹਾਂ?",anger
"ਅਫ਼ਸੋਸ ਦੀ ਗੱਲ ਹੈ ਕਿ ਦੁਨੀਆਂ ਕਈ ਸਾਲਾਂ ਤੋਂ ਝਗੜਾ ਕਰਦੀ ਆ ਰਹੀ ਹੈ ਅਤੇ ਉਸ ਤੋਂ ਅਣਜਾਣ, ਝਗੜਾ ਉਸ ਦੇ ਕਾਰਨ ਹੈ",Neutral
"ਹੁਕਮਰਾਨ ਸਿਧਾਂਤ ਇਹ ਹੈ ਕਿ ਪਾਪ ਦਾ ਡਰ ਪਰਮਾਤਮਾ ਦੇ ਪਿਆਰ ਤੋਂ ਪਹਿਲਾਂ ਹੁੰਦਾ ਹੈ, ਜੋ ਪਛਤਾਵਾ ਵੱਲ ਲੈ ਜਾਂਦਾ ਹੈ",fear
ਕਿਉਂਕਿ ਮੈਂ ਇਹ ਸਾਡੀ ਉਮੀਦ ਨਹੀਂ ਸੀ|,surprise 
"ਉਹ ਇੱਕ ਦਹਿਸ਼ਤਗਰਦ ਸੀ। ਜਿੰਨਾ ਚਿਰ ਉਸਦੇ ਮਾਤਾ-ਪਿਤਾ ਯਾਦ ਕਰ ਸਕਦੇ ਸਨ, ਉਹ ਇੱਕ ਮੁਸ਼ਕਲ ਬੱਚਾ ਸੀ",fear
ਮੈਂ ਪੂਰੀ ਤਰ੍ਹਾਂ ਹੈਰਾਨ ਹਾਂ ਜੋ ਤੁਸੀਂ ਮੈਨੂੰ ਦੱਸਿਆ ਹੈ,surprise 
ਮੈਂ ਭੁਗਤਾਨ ਕਿਵੇਂ ਕਰਾਂ,Neutral
ਇਹ ਕੁੱਕੜ ਬੋਟ ਹੈ,anger
ਇਹ ਲੋਕ ਕਈ ਸਾਲਾਂ ਤੋਂ ਦਹਿਸ਼ਤ ਅਤੇ ਦਹਿਸ਼ਤ ਦੇ ਖ਼ਤਰੇ ਨਾਲ ਜੀਅ ਰਹੇ ਹਨ,fear
ਇਸ ਐਪ ਦਾ ਕਿੰਨਾ ਬੇਕਾਰ ਜਵਾਬ,anger
ਕੀ ਤੁਹਾਨੂੰ ਅਜੇ ਤੱਕ ਪੈਸੇ ਨਹੀਂ ਮਿਲੇ ਹਨ?,sad
ਬੇਕਾਰ ਐਪ,anger
ਇਹ ਇੱਕ ਵਧੀਆ ਐਪ ਹੈ,happy
ਉਸ ਨੂੰ ਡਰ ਸੀ ਕਿ ਉਹ ਨਿਮੋਨੀਆ ਜਾਂ ਬ੍ਰੌਨਕਾਈਟਸ ਨਾਲ ਹੇਠਾਂ ਜਾ ਰਹੀ ਹੈ,fear
ਬੁਡਾਪੇਸਟ ਫਾਇਰ ਚੀਫ ਪੀਟਰ ਬੇਂਡੇ ਨੇ ਚੇਤਾਵਨੀ ਦਿੱਤੀ ਹੈ ਕਿ ਵਸਨੀਕਾਂ ਦਾ ਅਪਰਾਧ ਦਾ ਗੰਭੀਰ ਡਰ ਆਪਣੇ ਆਪ ਵਿੱਚ ਅਸਲ ਖ਼ਤਰੇ ਦਾ ਇੱਕ ਸਰੋਤ ਹੈ,fear
ਉਹ ਦੁਬਾਰਾ ਦੋਸਤਾਂ ਵਿੱਚ ਆ ਕੇ ਖੁਸ਼ ਸੀ,happy
ਜਰਮਨ ਇੰਟੈਲੀਜੈਂਸ ਨੂੰ ਉਮੀਦ ਸੀ ਕਿ ਜਾਪਾਨ ਅਮਰੀਕਾ 'ਤੇ ਅਚਾਨਕ ਹਮਲਾ ਕਰੇਗਾ,surprise 
ਇਹ ਤੁਹਾਨੂੰ ਹੈਰਾਨ ਕਰ ਦੇਵੇਗਾ,surprise 
ਲਾੜੀ ਦੇ ਮਾਤਾ-ਪਿਤਾ ਆਪਣੀ ਧੀ ਦੇ ਜਾਣ 'ਤੇ ਦੁਖੀ ਸਨ,sad
"ਉਹ ਉਸ ਦੀ ਅਸੰਭਵ ਸਥਿਤੀ ਵਿੱਚ ਸੀ ਜੋ ਇੱਕ ਸ਼ੇਰ ਦੀ ਸਵਾਰੀ ਕਰਦਾ ਹੈ ਅਤੇ ਅਨਿਸ਼ਚਿਤ ਸੀ ਕਿ ਉਸਨੂੰ ਉਤਰਨਾ ਚਾਹੀਦਾ ਹੈ ਜਾਂ ਨਹੀਂ, ਇੱਕ ਡੂੰਘਾ ਦੁਖੀ ਆਦਮੀ",sad
ਦੁੱਖ ਅਤੇ ਨਫ਼ਰਤ ਹੰਝੂ ਹੀ ਲਿਆਉਂਦੇ ਹਨ,sad
"ਉਹ ਅਗਨੀ ਗੁੱਸਾ ਮੇਰੇ ਅੰਦਰ ਦੁਬਾਰਾ ਪੈਦਾ ਹੋਇਆ, ਪਰ ਇਸ ਵਾਰ ਮੇਰਾ ਇਸ ਉੱਤੇ ਕਾਬੂ ਸੀ",anger
"ਇਹ ਦੇਖ ਕੇ, ਮੈਨੂੰ ਅਚਾਨਕ ਸਮਝ ਨਹੀਂ ਆਇਆ ਕਿ ਕੀ ਹੋ ਰਿਹਾ ਹੈ",surprise 
ਮੋਰਗਾਨਾ ਇਹ ਦੇਖ ਕੇ ਖੁਸ਼ ਸੀ ਕਿ ਕੁਝ ਲੋਕ ਅਜੇ ਵੀ ਪੁਰਾਣੇ ਢੰਗਾਂ ਅਤੇ ਰਾਜ ਦਾ ਸਤਿਕਾਰ ਕਰਦੇ ਹਨ ਜੋ ਕਿ ਉਸ ਦਾ ਸਹੀ ਸੀ।,happy
ਇੱਕ ਉੱਚੀ ਚੀਕ ਨੇ ਸਾਰਿਆਂ ਨੂੰ ਚੁੱਪ ਕਰਾ ਦਿੱਤਾ,surprise 
ਵਿਦਿਆਰਥੀ ਦੇ ਵਿਵਹਾਰ 'ਤੇ ਅਧਿਆਪਕ ਨੂੰ ਗੁੱਸਾ ਆਇਆ,anger
ਇਹ ਮਜਾਕਿਯਾ ਹੈ,happy
ਇਹ ਕਾਫ਼ੀ ਠੰਡਾ ਹੈ,Neutral
"ਉਸਨੇ ਕਿਹਾ ਕਿ ਉਹ ਯਾਰਕ ਵਾਪਸ ਆਉਣ ਲਈ ਹਮੇਸ਼ਾਂ ਖੁਸ਼ ਸੀ ਅਤੇ ਆਪਣੇ ਪੁਰਾਣੇ ਸਕੂਲ, ਦ ਮਾਉਂਟ ਦਾ ਦੌਰਾ ਕਰਨ ਲਈ ਵ੍ਹਟਸਨਟਾਈਡ ਵਾਪਸ ਆਵੇਗੀ",happy
ਮੈਨੂੰ ਇਹ ਸੁਣ ਕੇ ਹੈਰਾਨੀ ਹੋਈ ਕਿ ਕੀਮਤਾਂ ਇੰਨੀਆਂ ਵਧ ਗਈਆਂ ਹਨ,surprise 
"ਸਾਰਿਆਂ ਨੂੰ ਹੈਰਾਨੀ ਹੋਈ, ਮੇਰੇ ਖੂਨ ਦੀ ਜਾਂਚ ਬਹੁਤ ਜ਼ਿਆਦਾ ਇਨਸੁਲਿਨ ਗਿਣਤੀ ਦੇ ਨਾਲ ਵਾਪਸ ਆਈ",surprise 
ਬਹੁਤ ਹੀ ਦੁਖਦਾਈ ਖਬਰ ਹੈ,sad
ਮੇਰੇ ਸਾਥੀ ਨੇ ਜ਼ਿੰਦਗੀ ਦਾ ਵਿਗੜਿਆ ਅਤੇ ਬੇਤੁਕਾ ਪੱਖ ਦੇਖਿਆ ਅਤੇ ਉਸ ਦੇ ਨਾਲ ਇੱਕ ਵਧੀਆ ਦੁਰਲੱਭ ਸਟੀਕ ਅਤੇ ਇੱਕ ਬੀਅਰ 'ਤੇ ਹੱਸਣ ਵਿੱਚ ਖੁਸ਼ੀ ਮਹਿਸੂਸ ਕੀਤੀ।,happy
ਜਦੋਂ ਮੈਂ ਉਸ ਜੰਗਲ ਵਿੱਚ ਕੁਝ ਆਵਾਜ਼ ਸੁਣੀ ਤਾਂ ਮੈਂ ਆਪਣੇ ਆਪ ਨੂੰ ਬਹੁਤ ਧਿਆਨ ਨਾਲ ਰੱਖਣਾ ਸ਼ੁਰੂ ਕਰ ਦਿੱਤਾ,fear
"1945 ਦੀਆਂ ਆਮ ਚੋਣਾਂ ਵਿੱਚ, ਬਹੁਤ ਸਾਰੇ ਨਿਰੀਖਕਾਂ ਦੇ ਹੈਰਾਨੀ ਵਿੱਚ, ਵਿੰਸਟਨ ਚਰਚਿਲ ਨੂੰ ਕਲੇਮੈਂਟ ਐਟਲੀ ਦੀ ਅਗਵਾਈ ਵਾਲੀ ਲੇਬਰ ਪਾਰਟੀ ਨੇ ਹਰਾਇਆ",surprise 
ਕੈਬ ਡਰਾਈਵਰ ਨੇ ਮੇਰੇ ਨਾਲ ਦੁਰਵਿਵਹਾਰ ਕੀਤਾ,sad
ਇਹ ਐਪ ਕਿਸੇ ਵੀ ਸਮੇਂ ਧੋਖਾ ਦੇ ਸਕਦੀ ਹੈ,sad
"ਕਿਉਂਕਿ ਇਹ ਰਾਤ ਦੀ ਸ਼ਿਫਟ ਹੈ ਅਤੇ ਉਹਨਾਂ ਘੰਟਿਆਂ ਦੌਰਾਨ ਕਾਰੋਬਾਰ ਆਮ ਤੌਰ 'ਤੇ ਹੌਲੀ ਹੁੰਦਾ ਹੈ, ਤੁਸੀਂ ਇਕੱਲੇ ਕੰਮ ਕਰ ਰਹੇ ਹੋਵੋਗੇ",Neutral
ਮੈਂ ਵਿਸ਼ਵਾਸ ਨਹੀਂ ਕਰ ਸਕਦਾ ਕਿ ਇਹ ਅਸਲ ਵਿੱਚ ਹੋ ਰਿਹਾ ਹੈ,surprise 
"ਵਾਲਟਰ ਹੱਸਿਆ ਅਤੇ ਤੁਰਨਾ ਜਾਰੀ ਰੱਖਿਆ, ਅਤੇ ਐਡੀ ਉਸ ਦੇ ਨਾਲ ਪੈਦਲ ਹੋ ਗਿਆ, ਹੈਰਾਨੀ ਨਾਲ ਭਰੀਆਂ ਅੱਖਾਂ",surprise 
ਤੁਸੀਂ ਮੇਰੇ ਪੈਸੇ ਇਸ ਤਰ੍ਹਾਂ ਕਿਵੇਂ ਕੱਟ ਸਕਦੇ ਹੋ,anger
ਕੋਈ ਡਰ ਨਹੀਂ ਸੀ ਕਿ ਕੁਝ ਗਲਤ ਸਮਝਿਆ ਜਾਵੇਗਾ.,fear
ਮੈਂ ਕਦੇ ਨਹੀਂ ਸੋਚਿਆ ਸੀ ਕਿ ਇਹ ਸੰਭਵ ਹੋ ਸਕਦਾ ਹੈ,surprise 
ਤੁਸੀਂ ਕਦੋਂ ਤੱਕ ਇਹੀ ਗੱਲ ਕਹੋਗੇ,anger
ਸਿਸਟਰਫਕਰ,anger
"ਇਹ ਜਾਗਰੂਕਤਾ ਸਭ ਤੋਂ ਕਾਸਟਿਕ ਸਮਾਜਿਕ ਟਿੱਪਣੀ ਨੂੰ ਵਾਧੂ ਗੰਭੀਰਤਾ, ਜਾਂ ਉਦਾਸੀ ਪ੍ਰਦਾਨ ਕਰਦੀ ਹੈ",sad
ਮੈਂ ਉਸ ਘਰ ਵਿੱਚੋਂ ਚੀਕਾਂ ਸੁਣ ਸਕਦਾ ਹਾਂ,fear
ਪੈਨਿਸਿਲਿਨ ਜਾਂ ਅਮੋਕਸੀਸਿਲਿਨ-ਕਲੇਵੁਲੇਨੇਟ ਪੋਟਾਸ਼ੀਅਮ ਦੀ ਵਰਤੋਂ ਕੁੱਤੇ ਦੇ ਕੱਟਣ ਵਾਲੇ ਗੈਰ-ਐਲਰਜੀ ਵਾਲੇ ਮਰੀਜ਼ਾਂ ਲਈ ਕੀਤੀ ਜਾਂਦੀ ਹੈ,Neutral
"ਉਸਦੀਆਂ ਅੱਖਾਂ ਖਿੜਕੀਆਂ 'ਤੇ ਭਟਕ ਰਹੀਆਂ ਸਨ, ਉਸਦਾ ਸਾਹ ਉਸਦੇ ਗਲੇ ਵਿੱਚ ਫਸ ਗਿਆ ਸੀ ਜਿਵੇਂ ਉਸਦੀ ਰਗਾਂ ਵਿੱਚ ਗੁੱਸੇ ਦਾ ਇੱਕ ਨਵਾਂ ਫਟ ਗਿਆ ਸੀ",anger
ਤੁਸੀਂ ਇਹੀ ਗੱਲ ਕਿੰਨੀ ਵਾਰ ਕਹੋਗੇ,anger
"ਅਜਿਹੇ ਲੋਕਾਂ ਵਿੱਚ ਬਹੁਤ ਜ਼ਿਆਦਾ ਉਦਾਸੀ ਜਾਂ ਡਰ, ਜਾਂ ਭਾਵਨਾਵਾਂ ਨੂੰ ਮਹਿਸੂਸ ਕਰਨ ਵਿੱਚ ਅਸਮਰੱਥਾ ਦੀਆਂ ਭਾਵਨਾਵਾਂ ਆਮ ਹਨ",sad
ਉਹ ਕਾਂਟੀਨੈਂਟਲ ਸ਼ੂਮੇਕਰਜ਼ ਦੀ ਫੈਕਟਰੀ ਵਿੱਚ ਕੰਮ ਕਰਦਾ ਹੈ ਅਤੇ ਜਦੋਂ ਕਾਰੋਬਾਰ ਮੱਠਾ ਹੁੰਦਾ ਹੈ ਤਾਂ ਕਵਿਤਾ ਲਿਖਣ ਲਈ ਛੁਪਿਆ ਹੁੰਦਾ ਹੈ,Neutral
ਫਾਸਟ-ਲੇਨ ਮੁਹਿੰਮ ਸਵੀਮਿੰਗ ਪੂਲ ਵਿੱਚ ਤੇਜ਼ ਅਤੇ ਹੌਲੀ ਲੇਨਾਂ ਦੇ ਸਮਾਨ ਸਿਧਾਂਤ 'ਤੇ ਕੰਮ ਕਰਦੀ ਹੈ,Neutral
ਵਧੀਆ,happy
ਮੈਂ ਪ੍ਰਾਰਥਨਾ ਕਰ ਰਿਹਾ ਸੀ ਕਿ ਰੈਸਟੋਰੈਂਟ ਦੀ ਘੜੀ ਧੀਮੀ ਸੀ ਅਤੇ ਮੈਂ ਇੱਕ ਮਿੰਟ ਲੇਟ ਨਹੀਂ ਸੀ,Neutral
ਕਿਉਂ ਇੰਨੇ ਮਹਿੰਗੇ ਭੋਸਡੀਕੇ,anger
ਇਸ ਨੇ ਉਸ ਨੂੰ ਦੇਰ ਨਾਲ ਆਏ ਲੋਕਾਂ ਦੀ ਉਡੀਕ ਕਰਨ ਲਈ ਗੁੱਸੇ ਕਰ ਦਿੱਤਾ,anger
"ਇੱਕ ਨਨ ਦੇ ਗੁੰਝਲਦਾਰ ਜੀਵਨ ਦੀ ਅਗਵਾਈ ਕਰਨ ਦੇ ਵਿਚਾਰ ਨੇ ਉਸਨੂੰ ਬਹੁਤ ਦੁਖੀ ਕਰ ਦਿੱਤਾ, ਅਤੇ ਉਸਨੇ ਕਾਨਵੈਂਟ ਤੋਂ ਭੱਜਣ ਦਾ ਪੱਕਾ ਇਰਾਦਾ ਕੀਤਾ",sad
ਹੈਰਾਨੀ ਦਾ ਮਤਲਬ ਹੈ ਦੁਸ਼ਮਣ 'ਤੇ ਕਿਸੇ ਸਮੇਂ ਜਾਂ ਸਥਾਨ 'ਤੇ ਜਾਂ ਅਜਿਹੇ ਤਰੀਕੇ ਨਾਲ ਹਮਲਾ ਕਰਨਾ ਜਿਸ ਲਈ ਉਹ ਤਿਆਰ ਨਹੀਂ ਹੈ,surprise 
ਉਸਦੇ ਉਚਾਰਨ ਵਿੱਚ ਤਬਦੀਲੀ ਤੁਹਾਨੂੰ ਹੈਰਾਨ ਕਰਦੀ ਹੈ,surprise 
ਇੱਥੋਂ ਮੁੰਬਈ ਲਈ ਸਸਤੀ ਫਲਾਈਟ ਟਿਕਟ ਬੁੱਕ ਕਰੋ,Neutral
ਤੁਹਾਡੀ ਚਿੱਠੀ ਨੇ ਸਾਡੇ ਸਾਰਿਆਂ ਲਈ ਰੋਮਾਂਚ ਅਤੇ ਖੁਸ਼ੀ ਲਿਆਈ ਹੈ,happy
ਹੂਰੇ! ਇੱਕ ਸੌਦਾ ਹੋ ਗਿਆ!,happy
ਘੱਟੋ-ਘੱਟ ਇੱਕ ਵਾਰ,anger
ਇਮਤਿਹਾਨ ਲਗਭਗ ਸਾਰੇ ਵਿਦਿਆਰਥੀਆਂ ਲਈ ਇੱਕ ਕਿਸਮ ਦਾ ਡਰ ਹੁੰਦਾ ਹੈ,fear
ਹੋਟਲ ਗੰਦਾ ਸੀ,sad
ਮੇਰਾ ਮਨ ਗੁਆਚ ਗਿਆ ਹੈ ਇਸ ਨੂੰ ਰਸਤਾ ਦਿਖਾਓ,anger
ਸੱਚਮੁੱਚ ਸ਼ਲਾਘਾਯੋਗ,happy
ਫਲਾਈਟ ਦੀਆਂ ਟਿਕਟਾਂ ਉਪਲਬਧ ਹਨ,Neutral
ਹੁਣ ਇਹ ਕਿਵੇਂ ਹੋਇਆ,surprise 
ਉਨ੍ਹਾਂ ਨੇ ਬੱਚਿਆਂ ਨੂੰ ਅਗਵਾ ਕਰਕੇ ਕਸਬੇ ਵਿੱਚ ਡਰ ਦਾ ਮਾਹੌਲ ਪੈਦਾ ਕਰ ਦਿੱਤਾ ਸੀ,fear
ਮੈਨੂੰ ਲੱਗਦਾ ਹੈ ਕਿ ਕੁਝ ਗਲਤ ਹੋ ਰਿਹਾ ਹੈ,fear
ਮੈਂ ਇਸ ਸਮੇਂ ਜੋ ਦੇਖ ਰਿਹਾ ਹਾਂ ਉਸ ਤੋਂ ਮੈਂ ਹੈਰਾਨ ਅਤੇ ਪ੍ਰਭਾਵਿਤ ਹਾਂ,surprise 
"ਹਾਲਾਂਕਿ, ਚਾਈਕੋਵਸਕੀ ਨੇ ਦਿਖਾਇਆ ਕਿ ਦੋਵਾਂ ਸੰਸਾਰਾਂ ਵਿੱਚੋਂ ਸਭ ਤੋਂ ਵਧੀਆ ਬਣਾਉਣਾ ਸੰਭਵ ਸੀ",Neutral
ਆਪਣੇ ਸੀਨੀਅਰ ਕਾਰਜਕਾਰੀ ਨੂੰ ਸ਼ਿਕਾਇਤ ਕਰਨੀ ਪਵੇਗੀ,anger
"ਫਿਰ ਉਹ ਆਪਣੇ ਸੰਖੇਪਾਂ ਵਿੱਚ ਕੁਝ ਖਿੱਚਣ ਲਈ ਜਾਂਦਾ ਹੈ, ਬਿਨਾਂ ਸ਼ੱਕ ਕੁਝ ਫਿਲਮ ਦੇਖਣ ਵਾਲਿਆਂ ਲਈ ਇੱਕ ਸੁਹਾਵਣਾ ਹੈਰਾਨੀ",surprise 
ਉਸਦਾ ਡਰ ਬੇਬੁਨਿਆਦ ਹੋ ਸਕਦਾ ਹੈ,fear
"ਹਾਲਾਂਕਿ, ਜਦੋਂ ਹੀਰੋ ਸ਼ਰਮਿੰਦਾ ਅਤੇ ਬੇਇੱਜ਼ਤ ਹੁੰਦਾ ਹੈ, ਇਹ ਐਂਟੋਨੀਓ ਹੈ ਜੋ ਆਪਣਾ ਗੁੱਸਾ ਬਹੁਤ ਉੱਚੀ ਆਵਾਜ਼ ਵਿੱਚ ਕੱਢਦਾ ਹੈ",anger
ਪਤਾ ਨਹੀਂ ਪੈਸਾ ਕਦੋਂ ਵਾਪਸ ਆਵੇਗਾ,Neutral
ਉਹ ਹਮੇਸ਼ਾ ਆਪਣਾ ਗੁੱਸਾ ਖੁੱਲ੍ਹ ਕੇ ਜ਼ਾਹਰ ਕਰਦਾ ਹੈ,anger
ਉਹ ਗੁੱਸੇ ਵਿੱਚ ਮੇਰੇ ਉੱਤੇ ਛਾਲ ਮਾਰ ਗਿਆ,anger
ਮੇਰੇ ਖਾਤੇ ਵਿੱਚ ਕਿੰਨੇ ਪੈਸੇ ਹਨ,Neutral
ਉਹ ਇਸ ਮਾਮਲੇ ਵਿੱਚ ਇਨਸਾਫ਼ ਦੀ ਦੁਹਾਈ ਦੇ ਰਿਹਾ ਹੈ,sad
ਤੁਸੀਂ ਕਿਸ ਗੱਲ ਤੋਂ ਡਰਦੇ ਹੋ?,fear
