ਮੈਂ ਖੁਦ ਨਹੀਂ ਸਮਝ ਸਕਿਆ ਕਿ ਕੀ ਹੋ ਰਿਹਾ ਹੈ |,surprise 
ਮੈਨੂੰ ਕੁਝ ਸਮਝ ਨਹੀਂ ਆ ਰਿਹਾ,anger
ਯਾਰ ਮੈਂ ਬਹੁਤ ਘਬਰਾਇਆ ਹੋਇਆ ਹਾਂ,sad
ਦੀਵਾਲੀ 'ਤੇ ਫਲਾਈਟਾਂ ਦੇ ਰੇਟ ਬਹੁਤ ਮਹਿੰਗੇ ਹੋ ਜਾਂਦੇ ਹਨ,Neutral
"ਪਰ ਟੇਲਰ ਦਾ ਗੁੱਸਾ ਰੈਫਰੀ 'ਤੇ ਨਹੀਂ ਬਲਕਿ ਸਹਾਇਕ ਰੈਫਰੀ 'ਤੇ ਸੀ, ਜਿਸ ਨੇ ਇਸ ਘਟਨਾ ਲਈ ਫਲੈਗ ਕੀਤਾ ",anger
ਦੁਬਾਰਾ ਪੈਸੇ ਦੇਣ 'ਤੇ ਉਹ ਬਹੁਤ ਨਾਰਾਜ਼ ਸੀ,anger
ਉਹ ਮੈਨੂੰ ਉੱਥੇ ਦੇਖ ਕੇ ਹੈਰਾਨ ਰਹਿ ਗਈ,surprise 
ਸਾਨੂੰ ਯਕੀਨ ਹੈ ਕਿ ਇਹ ਵੈਬਚੈਟ ਇੱਕ ਮਾਰਕੀਟਿੰਗ ਵਿਵਸਥਾ ਦੀ ਬਜਾਏ ਸਿਰਫ਼ ਇੱਕ ਖੁਸ਼ਹਾਲ ਇਤਫ਼ਾਕ ਹੈ,happy
ਸੋਗ ਤੀਬਰ ਹੋਵੇਗਾ ਅਤੇ ਭਾਵਨਾਵਾਂ ਅਤੇ ਗੁੱਸਾ ਅਤੇ ਨਾਰਾਜ਼ਗੀ ਹੋਵੇਗੀ,anger
ਮੇਰੇ ਪੈਸੇ ਵਾਪਸ ਕਰਨ ਲਈ ਕੁਝ ਵੀ ਕਰੋ,anger
ਉਹ ਸ਼ੁੱਕਰਵਾਰ ਨੂੰ ਇਹ ਕਹਿ ਕੇ ਭੱਜ ਗਿਆ ਕਿ ਉਸ ਨੂੰ ਆਪਣੀ ਜਾਨ ਦਾ ਡਰ ਹੈ,fear
ਕੰਮ ਖਤਮ ਹੋ ਗਿਆ ਹੈ,Neutral
1805 ਵਿੱਚ ਐਚਐਮਐਸ ਸਰਪ੍ਰਾਈਜ਼ ਵਿੱਚ ਸਵਾਰ ਇੱਕ ਫਿਲਮ ਦਾ ਇਹ ਝਟਕਾ ਉਸ ਸਮੇਂ ਵਿੱਚ ਸੈੱਟ ਕੀਤਾ ਗਿਆ ਹੈ ਜਦੋਂ ਆਦਮੀ ਮਰਦ ਸਨ ਅਤੇ ਔਰਤਾਂ ਤਸਵੀਰ ਤੋਂ ਬਹੁਤ ਬਾਹਰ ਸਨ,surprise 
ਮੈਂ ਆਪਣੇ ਹਿੰਦੀ ਅਤੇ ਸੰਸਕ੍ਰਿਤ ਅਧਿਆਪਕਾਂ ਤੋਂ ਡਰਦਾ ਹਾਂ,fear
ਰਾਤ ਨੂੰ ਇਕੱਲੇ ਸੌਂਦਿਆਂ ਹੀ ਮੇਰਾ ਦਿਲ ਧੜਕਣ ਲੱਗਾ,fear
"ਮਸਕੈਟਰੀ ਦੀ ਇੱਕ ਦੁਰਘਟਨਾ ਦੇ ਬਾਅਦ, ਅਤੇ ਜਦੋਂ ਧੂੰਆਂ ਉੱਥੋਂ ਉੱਠਿਆ ਤਾਂ ਵਾਸ਼ਿੰਗਟਨ ਬੈਠ ਗਿਆ, ਸਾਰੇ ਹੈਰਾਨ ਰਹਿ ਗਏ, ਬਿਨਾਂ ਨੁਕਸਾਨ ਤੋਂ",surprise 
ਇੱਥੇ ਗਰਮੀ ਹੈ ਆਦਮੀ,Neutral
ਸ਼ਰਮ ਜਾਂ ਡਰ ਤੁਹਾਨੂੰ ਢੁਕਵੇਂ ਅਧਿਕਾਰੀਆਂ ਨੂੰ ਧੋਖਾਧੜੀ ਜਾਂ ਦੁਰਵਿਵਹਾਰ ਦੀ ਰਿਪੋਰਟ ਕਰਨ ਤੋਂ ਰੋਕਣ ਨਾ ਦਿਓ,fear
ਮੈਨੂੰ ਕੁੱਤਿਆਂ ਤੋਂ ਡਰ ਲੱਗਦਾ ਹੈ,fear
"ਲੋਕ ਡਰ, ਧੜਕਣ ਅਤੇ ਇੱਥੋਂ ਤੱਕ ਕਿ ਘਬਰਾਹਟ ਦੇ ਹਮਲੇ ਦਾ ਅਨੁਭਵ ਕਰ ਸਕਦੇ ਹਨ",fear
ਅਚਾਨਕ ਆਵਾਜ਼ ਸੁਣ ਕੇ ਮੈਂ ਡਰ ਗਿਆ,fear
ਮੈਂ ਹੱਸ ਕੇ ਨਹੀਂ ਮਰਾਂਗਾ,happy
ਮੈਂ ਗੁੱਸੇ ਵਿਚ ਹਾਂ,anger
ਵਧੀਆ ਐਪ,happy
ਕੀ ਇਹ ਖਤਰਨਾਕ ਹੋ ਸਕਦਾ ਹੈ,fear
ਮੈਨੂੰ ਯਕੀਨ ਹੈ ਕਿ ਤੁਸੀਂ ਮੇਰੇ ਨਾਲ ਨਾਰਾਜ਼ ਨਹੀਂ ਹੋਵੋਗੇ,anger
ਵਿਦਿਆਰਥੀ ਪ੍ਰੀਖਿਆਵਾਂ ਨੂੰ ਲੈ ਕੇ ਬੇਚੈਨ ਹਨ,fear
ਇਸ ਐਪ ਦਾ ਕੋਈ ਫਾਇਦਾ ਨਹੀਂ ਹੈ,anger
"ਇੱਕ ਨਾਖੁਸ਼ ਦਫ਼ਤਰ ਸਿਰਫ਼ ਰੂਹ ਨੂੰ ਤਬਾਹ ਕਰਨ ਤੋਂ ਵੱਧ ਹੋ ਸਕਦਾ ਹੈ, ਇਹ ਲੋਕਾਂ ਦੇ ਜੀਵਨ ਨੂੰ ਗੰਭੀਰ ਰੂਪ ਵਿੱਚ ਨੁਕਸਾਨ ਪਹੁੰਚਾ ਸਕਦਾ ਹੈ",sad
ਅੱਜ ਮੌਸਮ ਖਰਾਬ ਹੈ,sad
ਬਹੁਤ ਦਿਨਾਂ ਬਾਅਦ ਸੁਣੀ ਅਜਿਹੀ ਖਬਰ,surprise 
ਬੈਕਸਟਰ ਅੱਜ ਦੁਪਹਿਰ ਅਚਾਨਕ ਦੌਰੇ 'ਤੇ ਇੱਥੇ ਪਹੁੰਚੇ,surprise 
ਉਸਦੀ ਬੇਵਕਤੀ ਮੌਤ ਨਾਲ ਉਸਦੇ ਬਹੁਤ ਸਾਰੇ ਗੁਆਂਢੀਆਂ ਅਤੇ ਦੋਸਤਾਂ ਵਿੱਚ ਬਹੁਤ ਸਦਮਾ ਅਤੇ ਉਦਾਸੀ ਸੀ,sad
ਕੀ ਹੋ ਰਿਹਾ ਹੈ ਮੈਨ ਇੱਕ ਵਧੀਆ ਹੋਟਲ ਹੈ,happy
"ਹੇ ਆਦਮੀ, ਮੈਂ ਕਸਟਮਰ ਕੇਅਰ ਨੂੰ ਕਾਲ ਕਰਦੇ ਸਮੇਂ ਪਰੇਸ਼ਾਨ ਹਾਂ",sad
"ਅਸੀਂ ਬੋਧਾਤਮਕ ਲੱਛਣਾਂ ਦਾ ਅਨੁਭਵ ਕਰ ਸਕਦੇ ਹਾਂ ਜਿਵੇਂ ਕਿ ਯਾਦਦਾਸ਼ਤ ਦੀਆਂ ਸਮੱਸਿਆਵਾਂ, ਰੇਸਿੰਗ ਵਿਚਾਰ, ਗੰਭੀਰ ਚਿੰਤਾ ਜਾਂ ਡਰ",fear
ਮੈਂ ਤੁਹਾਡੇ ਨਾਲ ਗੱਲ ਨਹੀਂ ਕਰਨਾ ਚਾਹੁੰਦਾ,anger
ਇਹ ਮੇਰੇ ਲਈ ਹੈਰਾਨੀ ਦੇ ਰੂਪ ਵਿੱਚ ਆਇਆ,surprise 
ਮੈਂ ਬਹੁਤ ਡਰਤਾ ਹਾਂ ਕਿ ਮੇਰੇ ਪਰਿਵਾਰ ਦੇ ਕਿਸੇ ਨੂੰ ਕੋਰੋਨਾ ਵਾਇਰਸ ਦਾ ਸਾਹਮਣਾ ਕਰਨਾ ਪਵੇਗਾ,fear
ਹੁਣ ਬੁੱਕ ਕਰੋ,Neutral
ਮੁੜ ਚਾਲੂ ਕਰਨ ਤੋਂ ਬਾਅਦ ਵੀ ਇਹ ਉਹੀ ਦਿਖਾਉਂਦਾ ਹੈ ,Neutral
ਮੈਂ ਅੱਜ ਬਹੁਤ ਥੱਕ ਗਿਆ ਹਾਂ,Neutral
ਅੱਜ ਦਾ ਮੌਸਮ ਦੱਸੋ,Neutral
ਮੈਂ ਉਸਨੂੰ ਹਮੇਸ਼ਾ ਖੁਸ਼ ਅਤੇ ਉਸਦੇ ਦਿਨ ਦੀ ਉਡੀਕ ਕਰਦੇ ਹੋਏ ਦਰਵਾਜ਼ੇ ਤੋਂ ਬਾਹਰ ਭੇਜਣ ਦੀ ਕੋਸ਼ਿਸ਼ ਕਰਦਾ ਹਾਂ ਅਤੇ ਉਸਨੂੰ ਹੱਸਮੁੱਖ ਅਤੇ ਖੁਸ਼ ਰਹਿਣ ਲਈ ਉਤਸ਼ਾਹਿਤ ਕਰਦਾ ਹਾਂ,happy
"ਨਾਰਾਜ਼ ਬਜ਼ੁਰਗਾਂ ਵੱਲੋਂ ਵਿਰੋਧ ਪ੍ਰਦਰਸ਼ਨ ਜਾਰੀ ਹਨ, ਅਤੇ ਉਨ੍ਹਾਂ ਦੇ ਗੁੱਸੇ ਨੂੰ ਕਮਿਊਨਿਸਟ ਅਤੇ ਹੋਰ ਖੱਬੇਪੱਖੀ ਪਾਰਟੀਆਂ ਦੁਆਰਾ ਭੜਕਾਇਆ ਜਾ ਰਿਹਾ ਹੈ",anger
ਇਹ ਬਹੁਤ ਦੁੱਖ ਦੀ ਗੱਲ ਹੈ ਕਿ ਤੁਸੀਂ ਪ੍ਰੀਖਿਆ ਵਿੱਚ ਫੇਲ੍ਹ ਹੋ ਗਏ ਹੋ,sad
"ਬਿਜਲੀ ਵਾਂਗ, ਕਿਤੇ ਵੀ, ਇੱਕ 14 ਇੰਚ ਦਾ ਸਪਲੇਕ ਆ ਗਿਆ ਅਤੇ ਜਿਗ ਨੂੰ ਚਕਨਾਚੂਰ ਕਰ ਦਿੱਤਾ ਜਦੋਂ ਅਸੀਂ ਹੈਰਾਨੀ ਨਾਲ ਦੇਖਦੇ ਹਾਂ",surprise 
ਕੀ ਅੱਜ ਧੁੱਪ ਰਹੇਗੀ?,Neutral
"ਉੱਥੇ ਘਰੋਂ ਆਏ ਬਹੁਤ ਸਾਰੇ ਖੁਸ਼ ਚਿਹਰੇ ਸਨ, ਸਾਰੇ ਟੂਰਿੰਗ ਪਾਰਟੀ ਦਾ ਸੁਆਗਤ ਕਰਕੇ ਖੁਸ਼ ਸਨ",happy
"ਜੱਜਾਂ 'ਤੇ ਸ਼ਰਾਬੀ, ਦੁਰਵਿਵਹਾਰ ਕਰਨ ਵਾਲੇ ਅਤੇ ਹਿੰਸਕ ਹਵਾਈ ਗੁੱਸੇ ਦੇ ਅਪਰਾਧੀਆਂ ਨਾਲ ਨਜਿੱਠਣ ਵੇਲੇ ਬਹੁਤ ਜ਼ਿਆਦਾ ਨਰਮ ਹੋਣ ਦਾ ਦੋਸ਼ ਲਗਾਇਆ ਗਿਆ ਹੈ",anger
ਜੋਨ ਦੀ ਅਚਨਚੇਤ ਮੌਤ ਦੀ ਖਬਰ ਉਸਦੇ ਗ੍ਰਹਿ ਪਿੰਡ ਵਿੱਚ ਬਹੁਤ ਹੀ ਦੁੱਖ ਅਤੇ ਅਫਸੋਸ ਨਾਲ ਮਿਲੀ,sad
"ਉਹ ਇੱਕ ਸਿਹਤਮੰਦ, ਦਿਲਦਾਰ, ਖੁਸ਼ ਬੱਚਾ ਸੀ ਅਤੇ ਜਦੋਂ ਉਸਨੇ ਉਸ ਦਿਨ ਉਸਨੂੰ ਸੌਣ ਲਈ ਹੇਠਾਂ ਰੱਖਿਆ ਤਾਂ ਉਸਨੂੰ ਚਿੰਤਾ ਕਰਨ ਦਾ ਕੋਈ ਕਾਰਨ ਨਹੀਂ ਸੀ।",happy
ਸਵੈ-ਜੀਵਨੀ ਤਤਕਾਲ ਦਹਿਸ਼ਤ ਦੇ ਉਸ ਦੇ ਕਾਲਪਨਿਕ ਰਾਜ ਨੂੰ ਗੰਭੀਰ ਹਕੀਕਤ ਪ੍ਰਦਾਨ ਕਰਦੀ ਹੈ,fear
ਤੁਸੀਂ ਬਿਹਤਰ ਕਰ ਸਕਦੇ ਹੋ,sad
"ਬੇਸ਼ੱਕ ਭਾਈ-ਭਤੀਜਾਵਾਦ ਇੱਕ ਸ਼ਾਨਦਾਰ ਚੀਜ਼ ਹੈ, ਅਤੇ ਜੇਮਸ ਨੂੰ ਜਨਮ ਦੇ ਇਸ ਖੁਸ਼ਹਾਲ ਹਾਦਸੇ ਦਾ ਵੱਧ ਤੋਂ ਵੱਧ ਲਾਭ ਉਠਾਉਣ ਲਈ ਵਧਾਈ ਦਿੱਤੀ ਜਾਣੀ ਚਾਹੀਦੀ ਹੈ।",happy
ਇਹ ਬਦਲਾਅ ਤੁਹਾਨੂੰ ਹੈਰਾਨ ਕਰ ਦੇਵੇਗਾ,surprise 
"WWII ਦੌਰਾਨ, ਨਿਓਨ ਨੂੰ ਬੰਦ ਕਰਨ ਦਾ ਆਦੇਸ਼ ਦਿੱਤਾ ਗਿਆ ਸੀ, ਇਸ ਡਰ ਕਾਰਨ ਕਿ ਇਹ ਆਸਾਨੀ ਨਾਲ ਬੰਬਾਰੀ ਦੇ ਨਿਸ਼ਾਨੇ ਬਣਾ ਲਵੇਗਾ",fear
ਕਿਹੜੇ ਸੁੰਦਰ ਅਨੁਭਵ ਹਨ ਇਹ ,surprise 
ਤੁਸੀਂ ਕਿਉਂ ਰੋ ਰਹੇ ਹੋ ਅਤੇ ਬੁੜਬੁੜਾਉਂਦੇ ਹੋ?,sad
ਇਹ ਮਹੀਨਾ ਇੰਨੇ ਪੈਸੇ ਲਈ ਜਾਵੇਗਾ,Neutral
ਕੀ ਅਸੀਂ ਦੁੱਖ ਅਤੇ ਮੌਤ ਦੇ ਬਾਵਜੂਦ ਆਨੰਦ ਪਾ ਸਕਦੇ ਹਾਂ?,happy
ਸਮੇਂ ਦੀ ਬਰਬਾਦੀ,anger
ਇਹ ਖਬਰ ਉਸਨੂੰ ਹੈਰਾਨ ਕਰ ਦੇਵੇਗੀ,surprise 
ਮੈਨੂੰ ਡਰ ਹੈ ਕਿ ਕੁਝ ਗਲਤ ਹੋ ਜਾਵੇਗਾ,fear
"ਉਹ ਜਿੱਥੇ ਵੀ ਰਹਿੰਦਾ ਹੈ, ਉੱਥੇ ਖੁਸ਼ੀ ਮਹਿਸੂਸ ਕਰਦਾ ਹੈ",happy
ਮੈਂ ਨਿਰਾਸ਼ ਹਾਂ,sad
ਇਹ ਅਧਿਆਪਕ ਹਮੇਸ਼ਾ ਗੁੱਸਾ ਦਿਖਾਉਂਦੇ ਹਨ,anger
ਗੁੱਸੇ ਨੂੰ ਇੱਕ ਵਿਅਕਤੀ ਨੂੰ ਇਹ ਦਿਖਾਉਣ ਲਈ ਇੱਕ ਸਹਾਇਕ ਵਿਧੀ ਵਜੋਂ ਦੇਖਿਆ ਜਾਂਦਾ ਹੈ ਕਿ ਕੁਝ ਗਲਤ ਹੈ ਅਤੇ ਇਸਨੂੰ ਬਦਲਣ ਦੀ ਲੋੜ ਹੈ,anger
ਇਹ ਗੁੱਸਾ ਵੀ ਕੁਝ ਕਰ ਗੁਜ਼ਰਨ ਦੇ ਇਰਾਦਿਆਂ ਵਾਲਾ ਹੈ,anger
ਇਹ ਦੁਖੀ ਹੈ ਕਿ ਉਹ ਬਹੁਤ ਬਿਮਾਰ ਹੈ,sad
ਬੇਰਹਿਮ ਸਟਾਫ,sad
ਯਾਰ ਚਲੋ ਸੈਰ ਲਈ ਚੱਲੀਏ,Neutral
ਉਹ ਹੈਰਾਨ ਰਹਿ ਗਿਆ ਅਤੇ ਹੈਰਾਨ ਰਹਿ ਗਿਆ,surprise 
ਇਸ ਐਪ ਨੇ ਮੈਨੂੰ ਪਾਗਲ ਬਣਾ ਦਿੱਤਾ ਹੈ,anger
ਫਿਰ ਇੱਕ ਦਿਨ ਉਸਦੇ ਸਭ ਤੋਂ ਭੈੜੇ ਡਰ ਦੀ ਪੁਸ਼ਟੀ ਹੋ ਗਈ,fear
"ਮੈਂ ਸੋਚਦਾ ਹਾਂ ਕਿ ਗੁੱਸੇ ਤੋਂ ਬਾਅਦ ਕਿਸੇ ਕਿਸਮ ਦੀ ਕਠੋਰ ਸਵੀਕ੍ਰਿਤੀ ਆਉਂਦੀ ਹੈ, ਪਰ ਇਹ ਬਹੁਤ ਸ਼ਾਂਤ ਸਵੀਕਾਰਨ ਵਾਲੀ ਨਹੀਂ ਹੋਵੇਗੀ",anger
ਘਬਰਾਹਟ ਅਤੇ ਦਹਿਸ਼ਤ ਹਵਾ ਵਿੱਚ ਸੁੰਘੀ ਜਾ ਸਕਦੀ ਸੀ ਅਤੇ ਚਿੰਤਾ ਦੀ ਉਹ ਸੰਵੇਦਨਾ ਉਸਦੇ ਅੰਤੜੀਆਂ ਵਿੱਚ ਚਿਪਕ ਗਈ ਸੀ,fear
ਇਹ ਬਹੁਤ ਵਧੀਆ ਹੈ ਕਿ ਪੈਸੇ ਸਮੇਂ ਤੋਂ ਪਹਿਲਾਂ ਆ ਗਏ,happy
ਹਾਰਮੋਨਿਕਾ ਵਜਾਉਣ ਵਾਲੇ ਕਿਸੇ ਦੇ ਬੇਹੋਸ਼ ਘਰਘਰਾਹਟ ਤੋਂ ਇਲਾਵਾ ਕੋਈ ਆਵਾਜ਼ ਨਹੀਂ ਹੈ,Neutral
ਹੈਲੋ ਇੱਕ ਮਦਦ ਸਰ,Neutral
ਸਾਡੇ ਕੋਲ ਬਹੁਤ ਨਿਰਾਸ਼ਾਜਨਕ ਅਨੁਭਵ ਸੀ,sad
"ਜਿਰਾਫ਼ ਅਤੇ ਹਾਥੀ ਲਈ ਇੱਕ ਹੈਰਾਨੀ ਹਾਥੀ ਬਾਰੇ ਦੱਸਦੀ ਹੈ, ਜਿਸ ਕੋਲ ਹੈਰਾਨੀ ਬਾਰੇ ਬਹੁਤ ਕੁਝ ਹੈ ਜਿਸ ਵਿੱਚ ਐਲਪਾਈਨ ਹਾਰਨ ਸੇਰੇਨੇਡ ਅਤੇ ਹੈਰਾਨੀ ਵਾਲੀਆਂ ਪਾਰਟੀਆਂ ਸ਼ਾਮਲ ਹਨ",surprise 
"ਇਹ ਨੌਜਵਾਨ ਪ੍ਰਾਪਤੀ ਦੀ ਇੱਛਾ ਨਾਲ ਨਹੀਂ, ਅਸਫਲਤਾ ਦੇ ਡਰ ਤੋਂ ਪ੍ਰੇਰਿਤ ਹੁੰਦੇ ਹਨ",fear
"ਇਸ ਤੋਂ ਇਲਾਵਾ, ਉੱਚ ਗੁਣਵੱਤਾ ਵਾਲੇ ਬਾਲ ਦੇਖਭਾਲ ਸੈਟਿੰਗਾਂ ਵਿੱਚ, ਸੁਭਾਅ ਵਿੱਚ ਰੁਕਾਵਟ ਵਾਲੇ ਬੱਚੇ ਆਪਣੇ ਸਾਥੀਆਂ ਨਾਲ ਆਪਣੇ ਕੁਝ ਡਰ ਨੂੰ ਦੂਰ ਕਰਦੇ ਜਾਪਦੇ ਹਨ",fear
ਮੈਂ ਹੈਰਾਨੀ ਨਾਲ ਕਿਹਾ ਕਿ ਇਹ ਇੱਕ ਜੀਭ ਟਵਿਸਟਰ ਸੀ,surprise 
"ਵਿਵੀਅਨ ਬਿਨਾਂ ਕਿਸੇ ਵਿਰਾਮ ਦੇ ਵਿਸ਼ੇ ਤੋਂ ਦੂਜੇ ਵਿਸ਼ੇ ਵਿੱਚ ਛਾਲ ਮਾਰਦਾ ਹੈ, ਜਿਵੇਂ ਕਿ ਸਾਹ ਲੈਣਾ ਸਿਰਫ਼ ਇੱਕ ਖੁਸ਼ਹਾਲ ਸੁਝਾਅ ਸੀ",happy
ਕੀ ਇਹ ਇੰਨਾ ਖਰਚ ਕਰਨਾ ਯੋਗ ਹੋਵੇਗਾ,Neutral
ਅਸੀਂ ਸਾਰੇ ਨੀਂਦ ਤੋਂ ਹਿੱਲ ਗਏ,fear
"ਅੱਜ, ਸਰਕਾਰੀ ਸ਼ਖਸੀਅਤਾਂ ਨੂੰ ਨਾ ਸਿਰਫ਼ ਰੌਲੇ-ਰੱਪੇ ਦੇ ਡਰੋਂ, ਸਗੋਂ ਇੱਕ ਦਹਿਸ਼ਤ ਨਾਲ ਰੋਕਿਆ ਗਿਆ ਹੈ ਕਿ ਉਹ ਇਸ ਨੂੰ ਬਾਹਰ ਕੱਢਣ ਦੇ ਯੋਗ ਨਹੀਂ ਹੋਣਗੇ",fear
ਉਹ ਸੜਕ ਪਾਰ ਕਰਨ ਤੋਂ ਡਰਦੀ ਸੀ,fear
ਮਾਸ਼ਾ ਅੱਲ੍ਹਾ ਤੁਸੀਂ ਕੀ ਕੀਤਾ ਹੈ,happy
ਕਿਰਪਾ ਕਰਕੇ ਮੈਨੂੰ ਇਸ ਥਾਂ ਤੋਂ ਲੈ ਜਾਓ,fear
"ਡਰ, ਘਬਰਾਹਟ ਜਾਂ ਇੱਥੋਂ ਤੱਕ ਕਿ ਬੇਚੈਨੀ ਇੱਕ ਡਰ ਦਾ ਸੰਕੇਤ ਦਿੰਦੀ ਹੈ ਜੋ ਜ਼ਿਆਦਾਤਰ ਦੂਰ ਹੋ ਗਈ ਹੈ",fear
ਬਾਹਰ ਦਾ ਤਾਪਮਾਨ ਕੀ ਹੈ,Neutral
"ਉਹ ਗੁੱਸੇ ਅਤੇ ਹਿੰਸਾ ਦਾ ਇੱਕ ਵਾਵਰੋਲਾ ਹੈ, ਰੌਕੀ ਦੇ ਦੁੱਖ ਦੀ ਅੰਤਮਤਾ ਤੋਂ ਇਨਕਾਰ ਕਰਨ ਲਈ ਬੇਤਾਬ ਹੈ ਕਿ ਉਹ ਜਾਣਦੀ ਸੀ ਕਿ ਉਸਨੂੰ ਇੱਕ ਦਿਨ ਸਾਹਮਣਾ ਕਰਨਾ ਪਵੇਗਾ",anger
ਮੇਰੇ ਕੋਲ ਇੱਕ ਸਵਾਲ ਹੈ,Neutral
"ਸਟੈਡਮੈਨ ਡਬਲਜ਼, ਕ੍ਰੈਫੋਰਡ ਮਾਈਨਰ ਅਤੇ ਨੌਰਵਿਚ ਸਰਪ੍ਰਾਈਜ਼ ਮਾਈਨਰ ਸਮੇਤ ਲੋਕ ਜੋ ਵੀ ਮੰਗਦੇ ਹਨ ਅਸੀਂ ਉਸ ਨੂੰ ਰਿੰਗ ਕਰਦੇ ਹਾਂ",surprise 
"ਅਤੇ ਇਹ ਜਾਣ ਕੇ ਕਿੰਨੀ ਖੁਸ਼ੀ ਦੀ ਹੈਰਾਨੀ ਹੋਈ ਕਿ ਅਸਾਂਜ, ਇੱਕ ਕਾਰਡ ਲੈ ਕੇ ਜਾਣ ਵਾਲਾ ਵਿਸਲਬਲੋਅਰ, ਇੱਕ ਤੋਂ ਵੱਧ ਟੋਪੀ ਪਹਿਨ ਸਕਦਾ ਹੈ",surprise 
"ਅਸੀਂ ਖੁਸ਼ਹਾਲ ਜੋੜਿਆਂ ਨੂੰ ਵਿਆਹ ਦੀਆਂ ਖੁਸ਼ੀਆਂ ਦੇ ਕਈ ਸਾਲਾਂ ਦੀ ਕਾਮਨਾ ਕਰਦੇ ਹਾਂ, ਅਤੇ ਉਹਨਾਂ ਨੂੰ ਉਹਨਾਂ ਦੀ ਸੁਨਹਿਰੀ ਵਿਆਹ ਦੀ ਵਰ੍ਹੇਗੰਢ 'ਤੇ ਵਧਾਈ ਦਿੰਦੇ ਹਾਂ",happy
ਤੁਸੀਂ ਕਰਨ ਦੇ ਯੋਗ ਨਹੀਂ ਹੋਵੋਗੇ,anger
"ਉੱਥੋਂ ਲੰਘਦਿਆਂ, ਮੈਂ ਇੱਕ ਅਣਜਾਣ ਆਦਮੀ ਨੂੰ ਦੇਖਿਆ ਜਿਸ ਨੇ ਮੈਨੂੰ ਡਰਾਇਆ",fear
ਉਹ ਉਦਾਸ ਅਤੇ ਨਿਰਾਸ਼ ਹਨ,sad
ਅੱਜ ਸਵੇਰੇ ਜਦੋਂ ਅਸੀਂ ਉਸ ਨੂੰ ਦਫ਼ਤਰ ਵਿੱਚ ਦੇਖਿਆ ਤਾਂ ਅਸੀਂ ਹੈਰਾਨ ਰਹਿ ਗਏ,surprise 
ਓਹ! ਮੈਂ ਉਹਨਾਂ ਦੇ ਇਸ ਪ੍ਰਦਰਸ਼ਨ ਤੋਂ ਹੈਰਾਨ ਹਾਂ,surprise 
ਅਸੀਂ ਉਸਦੀ ਬੇਈਮਾਨੀ ਤੋਂ ਹੈਰਾਨ ਰਹਿ ਗਏ,surprise 
ਇਸ ਗੱਲ ਨੇ ਉਸ ਨੂੰ ਜ਼ਿਆਦਾ ਹੈਰਾਨ ਨਹੀਂ ਕੀਤਾ,surprise 
ਉਸ ਨੇ ਉਸ ਦੇ ਚਿਹਰੇ ਦੀ ਸਫ਼ੈਦਤਾ ਅਤੇ ਉਸ ਦੇ ਹੱਥ ਉਸ ਦੀ ਗੋਦੀ ਵਿਚ ਝੁਲਸੇ ਹੋਏ ਉਸ ਭਿਆਨਕ ਦਹਿਸ਼ਤ ਨੂੰ ਪਛਾਣ ਲਿਆ ਸੀ।,fear
